New Trip: 25/04/2021 16:17:39
['40', 'warning', 'reduce speed to 20 MPH', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0.8', '0', '0', '0', '0', '20', 'Slow the train to 20 MPH or less']
['40', 'warning', 'reduce speed to 20 MPH', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0.8', '0', '0', '0', '0', '20', 'Slow the train to 20 MPH or less']
['40', 'warning', 'reduce speed to 20 MPH', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0.8', '0', '0', '0', '0', '20', 'Slow the train to 20 MPH or less']
['20', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0.8', '0', '0', '0', '0', '0', '---No Suggestion---']
['20', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0.8', '0', '0', '0', '0', '0', '---No Suggestion---']
['20', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0.8', '0', '0', '0', '0', '0', '---No Suggestion---']
['20', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0.8', '0', '0', '0', '0', '0', '---No Suggestion---']
['20', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0.6', '0', '0', '0', '0', '0', '---No Suggestion---']
['20', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0.6', '0', '0', '0', '0', '0', '---No Suggestion---']
['25', 'warning', 'reduce speed to 20 MPH', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0.6', '0', '0', '0', '0', '20', 'Slow the train to 20 MPH or less']
['25', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0.4', '0', '0', '0', '0', '0', '---No Suggestion---']
['25', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0.4', '0', '0', '0', '0', '0', '---No Suggestion---']
['25', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0.4', '0', '0', '0', '0', '0', '---No Suggestion---']
['25', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0.4', '0', '0', '0', '0', '0', '---No Suggestion---']
['25', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0.2', '0', '0', '0', '0', '0', '---No Suggestion---']
['25', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0.1', '0', '0', '0', '0', '0', '---No Suggestion---']
['25', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0.1', '0', '0', '0', '0', '0', '---No Suggestion---']
['25', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '0', '0', '0', '0', '---No Suggestion---']
['25', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '0', '0', '0', '0', '---No Suggestion---']
['25', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '0', '0', '0', '0', '---No Suggestion---']
['25', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '0', '0', '0', '0', '---No Suggestion---']
